Candidate_Name,Candidate_Party,State,District,Is_Incumbent?,Is_Winner,Percent_of_Vote_(%),Money_Raised_($),Money_Spent_($)
Michael David Sanchez,Independent,Texas,14,No,No,,100,12
Vicente Gonzalez,Democrat,Texas,15,Yes,Yes,50.5,1008381,657500
Monica De La Cruz,Republican,Texas,15,No,No,47.6,344893,338832
Veronica Escobar,Democrat,Texas,16,Yes,Yes,64.7,1135549,1087693
Irene Armendariz-Jackson,Republican,Texas,16,No,No,35.3,168997,153671
Pete Sessions,Republican,Texas,17,No,Yes,55.9,1447958,1658637
Rick Kennedy,Democrat,Texas,17,No,No,40.9,200668,202096
Ted Brown,Libertarian,Texas,17,No,No,3.2,3041,3041
Sheila Jackson Lee,Democrat,Texas,18,Yes,Yes,73.3,924480,838414
Wendell Champion,Republican,Texas,18,No,No,23.5,305645,271278
Jodey Arrington,Republican,Texas,19,Yes,Yes,74.8,2497184,1932700
Tom Watson,Democrat,Texas,19,No,No,22.9,49405,60806
Joaquin Castro,Democrat,Texas,20,Yes,Yes,64.7,674061,686934
Mauro Garza,Republican,Texas,20,No,No,33.1,263293,240930
Chip Roy,Republican,Texas,21,Yes,Yes,52.0,5005639,4679362
Wendy Davis,Democrat,Texas,21,No,No,45.4,10263486,10201874
Michael Felts,Independent,Texas,21,No,No,,3570,1851
Sri Kulkarni,Democrat,Texas,22,No,No,44.6,5639061,5630098
Troy Nehls,Republican,Texas,22,No,Yes,51.5,1806655,1787448
Gina Ortiz Jones,Democrat,Texas,23,No,No,46.6,6755222,6842440
Tony Gonzales,Republican,Texas,23,No,Yes,50.5,2797133,2764108
Candace Valenzuela,Democrat,Texas,24,No,No,47.5,4886999,4875031
Beth Van Duyne,Republican,Texas,24,No,Yes,48.8,3410852,3342442
Stephen Kuzmich,Independent,Texas,24,No,No,1.2,175504,201332
Mark Bauer,Independent,Texas,24,No,No,0.9,26342,26542
Darren Hamilton,Libertarian,Texas,24,No,No,1.6,570,212
Roger Williams,Republican,Texas,25,Yes,Yes,55.9,2435121,3347267
Julie Oliver,Democrat,Texas,25,No,No,42.1,2190347,2176319
Michael Burgess,Republican,Texas,26,Yes,Yes,60.6,1806588,2081391
Carol Iannuzzi,Democrat,Texas,26,No,No,37.3,95937,95937
Michael Cloud,Republican,Texas,27,Yes,Yes,63.1,1014427,829748
Ricardo De La Fuente,Democrat,Texas,27,No,No,34.9,312096,312096
Henry Cuellar,Democrat,Texas,28,Yes,Yes,58.3,2655317,3650848
Sandra Whitten,Republican,Texas,28,No,No,39.0,24760,27354
Sylvia Garcia,Democrat,Texas,29,Yes,Yes,71.1,818984,758382
Jaimy Blanco,Republican,Texas,29,No,No,27.4,4378,0
Eddie Bernice Johnson,Democrat,Texas,30,Yes,Yes,77.5,589096,494547
Tre Pennie,Republican,Texas,30,No,No,18.4,311109,305446
John Carter,Republican,Texas,31,Yes,Yes,53.4,2160187,2214487
Donna Imam,Democrat,Texas,31,No,No,44.3,1035222,1035272
Colin Allred,Democrat,Texas,32,Yes,Yes,52.0,5667725,5611747
Genevieve Collins,Republican,Texas,32,No,No,45.9,5923081,5915256
Jason Sigmon,Independent,Texas,32,No,No,0.7,11791,11651
Marc Veasey,Democrat,Texas,33,Yes,Yes,66.8,1621929,1613446
Fabian Cordova Vasquez,Republican,Texas,33,No,No,25.2,36692,25585
Filemon Vela,Democrat,Texas,34,Yes,Yes,55.4,983026,1024180
Rey Gonzalez,Republican,Texas,34,No,No,41.8,37118,37446
Lloyd Doggett,Democrat,Texas,35,Yes,Yes,65.4,1336576,424804
Jennifer Sharon,Republican,Texas,35,No,No,30.0,19011,14442
Jason Mata,Independent,Texas,35,No,No,1.9,2632,2632
Brian Babin,Republican,Texas,36,Yes,Yes,73.6,1345351,1297185
Brandon Rashad Lewis,Democrat,Texas,36,No,No,24.3,21714,12278
Lloyd Doggett,Democrat,Texas,37,Yes,Yes,,186971,131591
Wesley Hunt,Republican,Texas,38,Yes,No,,503400,336728
Melissa McDonough,Democrat,Texas,38,No,No,,25855,24256
Blake Moore,Republican,Utah,1,No,Yes,69.6,844377,816015
Darren Parry,Democrat,Utah,1,No,No,30.5,41218,40904
Chris Stewart,Republican,Utah,2,Yes,Yes,59.0,835139,812462
John Kael Weston,Democrat,Utah,2,No,No,36.6,344774,306872
Joe Jarvis,3rd Party,Utah,2,No,No,,22989,22989
John Curtis,Republican,Utah,3,Yes,Yes,68.8,874311,687265
Devin Thorpe,Democrat,Utah,3,No,No,26.8,191412,190200
Thomas G. McNeill,3rd Party,Utah,3,No,No,2.0,5516,5516
Russel Fugal,Independent,Utah,3,No,No,,393,346
Ben McAdams,Democrat,Utah,4,Yes,No,46.7,5613542,5555591
Burgess Owens,Republican,Utah,4,No,Yes,47.7,5129475,5049146
Jonia Broderick,3rd Party,Utah,4,No,No,2.1,21394,21265
Peter Welch,Democrat,Vermont,1,Yes,Yes,64.4,847320,865252
Rob Wittman,Republican,Virginia,1,Yes,Yes,58.5,1969785,2140375
Qasim Rashid,Democrat,Virginia,1,No,No,41.7,1559108,1559108
Elaine Luria,Democrat,Virginia,2,Yes,Yes,51.6,6522276,6387474
Scott Taylor,Republican,Virginia,2,No,No,45.8,2452292,2446410
Bobby Scott,Democrat,Virginia,3,Yes,Yes,68.4,873126,832419
John Collick,Republican,Virginia,3,No,No,31.4,167146,165080
Donald McEachin,Democrat,Virginia,4,Yes,Yes,61.6,961412,963788
Leon Benjamin,Republican,Virginia,4,No,No,38.2,545354,523429
Cameron Webb,Democrat,Virginia,5,No,No,47.3,5755917,5750924
Bob Good,Republican,Virginia,5,No,Yes,52.4,1373867,1323530
Ben Cline,Republican,Virginia,6,Yes,Yes,64.6,892955,672928
Nicholas Betts,Democrat,Virginia,6,No,No,35.3,56190,54205
Abigail Spanberger,Democrat,Virginia,7,Yes,Yes,50.8,8387680,7852213
Nick Freitas,Republican,Virginia,7,No,No,49.0,3629431,3600108
Don Beyer,Democrat,Virginia,8,Yes,Yes,75.8,1729482,2071906
Jeff Jordan,Republican,Virginia,8,No,No,24.0,96035,96035
Heerak Christian Kim,Independent,Virginia,8,No,No,,2036,1921
Morgan Griffith,Republican,Virginia,9,Yes,Yes,94.0,873612,463916
Jennifer Wexton,Democrat,Virginia,10,Yes,Yes,56.5,3855331,1772250
Aliscia Andrews,Republican,Virginia,10,No,No,43.4,1567598,1413145
Gerry Connolly,Democrat,Virginia,11,Yes,Yes,71.4,1998592,1811776
Manga Anantatmula,Republican,Virginia,11,No,No,28.3,282152,268326
Stevan Porter,Libertarian,Virginia,11,No,No,,533,1316
Suzan DelBene,Democrat,Washington,1,Yes,Yes,58.6,2182985,1897162
Jeffrey Beeler,Republican,Washington,1,No,No,41.3,61970,62279
Rick Larsen,Democrat,Washington,2,Yes,Yes,63.2,1275127,1219489
Tim Hazelo,Republican,Washington,2,No,No,36.6,49478,49322
Jaime Herrera Beutler,Republican,Washington,3,Yes,Yes,56.4,4566383,4540148
Carolyn Long,Democrat,Washington,3,No,No,43.4,4130540,4142685
Dan Newhouse,Republican,Washington,4,Yes,Yes,66.3,1173464,991174
Doug McKinley,Democrat,Washington,4,No,No,33.5,57666,54227
Cathy McMorris Rodgers,Republican,Washington,5,Yes,Yes,60.9,4349448,3432572
Dave Wilson,Democrat,Washington,5,No,No,38.9,109636,109636
Derek Kilmer,Democrat,Washington,6,Yes,Yes,59.4,2524026,2531111
Elizabeth Kreiselmaier,Republican,Washington,6,No,No,40.4,156123,145108
Pramila Jayapal,Democrat,Washington,7,Yes,Yes,83.0,2630000,1530626
Craig Keller,Republican,Washington,7,No,No,16.7,2904,3703
Kim Schrier,Democrat,Washington,8,Yes,Yes,51.7,5422491,3774398
Jesse Jensen,Republican,Washington,8,No,No,48.1,852396,842269
Adam Smith,Democrat,Washington,9,Yes,Yes,74.2,1324761,930710
Doug Basler,Republican,Washington,9,No,No,25.7,22536,18328
Marilyn Strickland,Democrat,Washington,10,No,Yes,49.6,1812659,1780633
Beth Doglio,Democrat,Washington,10,No,No,35.7,1477678,1477678
David McKinley,Republican,West Virginia,1,Yes,Yes,69.0,1092609,1085864
Natalie Ms. Cline,Democrat,West Virginia,1,No,No,31.0,81032,81881
Alex Mooney,Republican,West Virginia,2,Yes,Yes,63.1,2155978,864001
Catherine Kunkel,Democrat,West Virginia,2,No,No,36.9,641567,641567
Bryan Steil,Republican,Wisconsin,1,Yes,Yes,59.4,3500849,3151701
Roger Polack,Democrat,Wisconsin,1,No,No,40.7,536228,526431
Mark Pocan,Democrat,Wisconsin,2,Yes,Yes,69.7,1290582,1014628
Peter Theron,Republican,Wisconsin,2,No,No,30.3,35753,33977
Ron Kind,Democrat,Wisconsin,3,Yes,Yes,51.4,2989262,4435403
Derrick Van Orden,Republican,Wisconsin,3,No,No,48.6,1962443,1948639
Gwen Moore,Democrat,Wisconsin,4,Yes,Yes,74.7,1183995,1166739
Scott Fitzgerald,Republican,Wisconsin,5,No,Yes,60.2,1155721,968406
Tom Palzewicz,Democrat,Wisconsin,5,No,No,39.9,370392,371799
Glenn Grothman,Republican,Wisconsin,6,Yes,Yes,59.3,1815756,1736659
Jessica King,Democrat,Wisconsin,6,No,No,40.7,287753,245788
Tom Tiffany,Republican,Wisconsin,7,Yes,Yes,60.8,2637459,2514740
Tricia Zunker,Democrat,Wisconsin,7,No,No,39.2,1261957,1232690
Mike Gallagher,Republican,Wisconsin,8,Yes,Yes,64.0,3202905,2841801
Amanda Stuck,Democrat,Wisconsin,8,No,No,36.0,416978,399916
Liz Cheney,Republican,Wyoming,1,Yes,Yes,68.6,3003883,3060167
Lynnette Grey Bull,Democrat,Wyoming,1,No,No,24.6,134597,132235
